Temperature: loadcase=1,period=1
Temperature: loadcase=1,period=52
   1            4.641
   2            4.641
   3            4.641
   4            4.641
   5            4.641
   6            4.641
   7            4.641
   8            4.641
   9            0.631
  10            0.628
  11            0.632
  12            0.628
  13            0.628
  14            0.632
  15            0.627
  16            0.632
Temperature: loadcase=1,period=53
   1            4.602
   2            4.602
   3            4.602
   4            4.602
   5            4.602
   6            4.602
   7            4.602
   8            4.602
   9            0.575
  10            0.572
  11            0.575
  12            0.572
  13            0.575
  14            0.572
  15            0.575
  16            0.572
Temperature: loadcase=1,period=54
   1            4.566
   2            4.566
   3            4.566
   4            4.566
   5            4.566
   6            4.566
   7            4.566
   8            4.566
   9            0.555
  10            0.556
  11            0.555
  12            0.556
  13            0.554
  14            0.558
  15            0.553
  16            0.558
Temperature: loadcase=1,period=55
   1            4.531
   2            4.531
   3            4.531
   4            4.531
   5            4.531
   6            4.531
   7            4.531
   8            4.531
   9            0.504
  10            0.509
  11            0.505
  12            0.509
  13            0.511
  14            0.502
  15            0.511
  16            0.502
Temperature: loadcase=1,period=56
   1            4.500
   2            4.500
   3            4.500
   4            4.500
   5            4.500
   6            4.500
   7            4.500
   8            4.500
   9            0.493
  10            0.488
  11            0.493
  12            0.488
  13            0.486
  14            0.494
  15            0.486
  16            0.494
Temperature: loadcase=1,period=57
   1            4.469
   2            4.469
   3            4.469
   4            4.469
   5            4.469
   6            4.469
   7            4.469
   8            4.469
   9            0.446
  10            0.449
  11            0.446
  12            0.449
  13            0.448
  14            0.446
  15            0.449
  16            0.447
Temperature: loadcase=1,period=58
   1            4.441
   2            4.441
   3            4.441
   4            4.441
   5            4.441
   6            4.441
   7            4.441
   8            4.441
   9            0.433
  10            0.432
  11            0.432
  12            0.432
  13            0.437
  14            0.428
  15            0.437
  16            0.428
Temperature: loadcase=1,period=59
   1            4.414
   2            4.414
   3            4.414
   4            4.414
   5            4.414
   6            4.414
   7            4.414
   8            4.414
   9            0.393
  10            0.397
  11            0.393
  12            0.397
  13            0.392
  14            0.398
  15            0.392
  16            0.398
Temperature: loadcase=1,period=60
   1            4.389
   2            4.389
   3            4.389
   4            4.389
   5            4.389
   6            4.389
   7            4.389
   8            4.389
   9            0.383
  10            0.380
  11            0.383
  12            0.380
  13            0.384
  14            0.379
  15            0.384
  16            0.379
Temperature: loadcase=1,period=61
   1            4.366
   2            4.366
   3            4.366
   4            4.366
   5            4.366
   6            4.366
   7            4.366
   8            4.366
   9            0.348
  10            0.349
